# TimeStamp   : 2020-02-23 22:31:18
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-30
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# -->
# <Inputs>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1..3:1 (1=L,2=S,3=both) -->
#         <Value>1</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..8:1 -->
#         <Start>1</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..2:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>FilterT_switch</Name>     <!-- 0..11:1 -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>50</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>Filter1S_switch</Name>    <!-- 0..50:1 -->
#         <Value>0</Value>    
#     </Input>
#     <OptRange>
#         <Name>fractN</Name>             <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades,     NetPL,  AvgTrade, PftFactor,    NP/MDD, Expectancy,   Z-score, Side_switch,    MyStop, POI_switch, Distance_switch, FilterT_switch, Filter1L_switch, Filter1S_switch,    fractN,   epsilon, 
      399,  25470.00,     63.83,      1.25,      2.55,      0.11,      1.62,           1,           0,           5,           2,           0,          26,           0,           2,           0, 
       42,   6870.00,    163.57,      2.37,      3.38,      0.52,      1.62,           1,           0,           8,           2,           0,          26,           0,           5,           0, 
       57,   7730.00,    135.61,      2.01,      3.13,      0.44,      1.60,           1,           0,           8,           2,           0,          26,           0,           4,           0, 
       47,   6770.00,    144.04,      2.14,      3.24,      0.44,      1.59,           1,           0,           4,           2,           0,          41,           0,           3,           0, 
       49,   5200.00,    106.12,      2.01,      2.91,      0.37,      1.56,           1,           0,           4,           2,           0,          41,           0,           1,           0, 
       49,   7130.00,    145.51,      2.00,      2.45,      0.47,      1.55,           1,           0,           6,           1,           0,           9,           0,           4,           0, 
       71,   9090.00,    128.03,      1.72,      1.59,      0.27,      1.55,           1,           0,           6,           2,           0,          19,           0,           5,           0, 
      123,  11260.00,     91.54,      1.53,      2.13,      0.24,      1.54,           1,           0,           3,           1,           0,          35,           0,           3,           0, 
      267,  19830.00,     74.27,      1.37,      1.82,      0.17,      1.53,           1,           0,           3,           1,           0,           8,           0,           3,           0, 
       37,   6270.00,    169.46,      2.54,      3.39,      0.75,      1.53,           1,           0,           3,           1,           0,          25,           0,           4,           0, 
      519,  25850.00,     49.81,      1.20,      2.22,      0.09,      1.53,           1,           0,           2,           1,           0,          25,           0,           1,           0, 
       93,  10230.00,    110.00,      1.64,      4.49,      0.27,      1.52,           1,           0,           4,           2,           0,          36,           0,           5,           0, 
      224,  16810.00,     75.04,      1.32,      2.36,      0.15,      1.51,           1,           0,           5,           2,           0,          36,           0,           5,           0, 
       56,   6040.00,    107.86,      1.84,      2.88,      0.33,      1.49,           1,           0,           7,           1,           0,          13,           0,           3,           0, 
       60,   9470.00,    157.83,      1.89,      3.02,      0.36,      1.48,           1,           0,           4,           2,           0,          32,           0,           3,           0, 
      104,   9520.00,     91.54,      1.55,      2.74,      0.26,      1.47,           1,           0,           5,           1,           0,          36,           0,           3,           0, 
      519,  25960.00,     50.02,      1.20,      3.25,      0.09,      1.46,           1,           0,           5,           2,           0,           4,           0,           1,           0, 
      139,  12330.00,     88.71,      1.47,      2.61,      0.22,      1.46,           1,           0,           4,           1,           0,          26,           0,           1,           0, 
      273,  19700.00,     72.16,      1.30,      2.02,      0.13,      1.46,           1,           0,           5,           2,           0,          26,           0,           5,           0, 
      354,  21580.00,     60.96,      1.24,      2.22,      0.11,      1.46,           1,           0,           5,           2,           0,          25,           0,           4,           0, 
      322,  17810.00,     55.31,      1.26,      2.67,      0.13,      1.45,           1,           0,           2,           1,           0,          33,           0,           2,           0, 
      190,  13810.00,     72.68,      1.34,      2.57,      0.15,      1.44,           1,           0,           6,           1,           0,          36,           0,           2,           0, 
      340,  21330.00,     62.74,      1.25,      1.87,      0.11,      1.44,           1,           0,           5,           2,           0,          26,           0,           4,           0, 
      419,  22840.00,     54.51,      1.21,      2.53,      0.10,      1.42,           1,           0,           6,           2,           0,          25,           0,           4,           0, 
       63,   9730.00,    154.44,      1.84,      2.25,      0.43,      1.42,           1,           0,           6,           1,           0,           0,           0,           4,           0, 
       37,   5430.00,    146.76,      2.40,      3.21,      0.68,      1.41,           1,           0,           1,           1,           0,          26,           0,           4,           0, 
      491,  24130.00,     49.14,      1.19,      2.86,      0.09,      1.40,           1,           0,           5,           2,           0,           4,           0,           2,           0, 
       33,   4900.00,    148.48,      2.21,      3.98,      0.59,      1.40,           1,           0,           4,           1,           0,          36,           0,           3,           0, 
      109,  11010.00,    101.01,      1.59,      3.46,      0.24,      1.39,           1,           0,           4,           1,           0,          15,           0,           3,           0, 
       63,   9450.00,    150.00,      1.82,      2.18,      0.41,      1.39,           1,           0,           6,           1,           0,           1,           0,           4,           0, 
