# TimeStamp   : 2020-02-23 21:10:45
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-30
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# -->
# <Inputs>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1..3:1 (1=L,2=S,3=both) -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..8:1 -->
#         <Start>1</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..2:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>FilterT_switch</Name>     <!-- 0..11:1 -->
#         <Value>0</Value>
#     </Input>
#     <Input>
#         <Name>Filter1L_switch</Name>    <!-- 0..50:1 -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>50</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN</Name>             <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades,     NetPL,  AvgTrade, PftFactor,    NP/MDD, Expectancy,   Z-score, Side_switch,    MyStop, POI_switch, Distance_switch, FilterT_switch, Filter1L_switch, Filter1S_switch,    fractN,   epsilon,
       73,  15590.00,    213.56,      2.04,      4.15,      0.45,      1.91,           2,           0,           5,           2,           0,           0,          18,           2,           0,
       98,  10830.00,    110.51,      1.78,      3.32,      0.37,      1.91,           2,           0,           4,           1,           0,           0,          50,           3,           0,
       91,  19330.00,    212.42,      1.87,      3.65,      0.36,      1.91,           2,           0,           2,           1,           0,           0,          18,           1,           0,
     1013,  53670.00,     52.98,      1.18,      2.68,      0.09,      1.90,           2,           0,           2,           2,           0,           0,           1,           2,           0,
       63,   5730.00,     90.95,      2.00,      5.07,      0.46,      1.90,           2,           0,           1,           1,           0,           0,          17,           4,           0,
       86,  17930.00,    208.49,      1.88,      4.11,      0.37,      1.90,           2,           0,           1,           1,           0,           0,          18,           1,           0,
      103,  16060.00,    155.92,      1.63,      3.42,      0.25,      1.89,           2,           0,           3,           2,           0,           0,          38,           1,           0,
     1033,  53950.00,     52.23,      1.18,      2.76,      0.09,      1.89,           2,           0,           2,           2,           0,           0,           1,           1,           0,
      113,  18040.00,    159.65,      1.60,      4.12,      0.26,      1.88,           2,           0,           2,           2,           0,           0,          38,           3,           0,
      130,  11360.00,     87.38,      1.62,      3.48,      0.29,      1.88,           2,           0,           4,           1,           0,           0,          22,           3,           0,
       60,   6600.00,    110.00,      1.87,      4.52,      0.43,      1.87,           2,           0,           8,           1,           0,           0,           6,           3,           0,
      121,  10710.00,     88.51,      1.65,      3.29,      0.28,      1.87,           2,           0,           4,           1,           0,           0,          16,           3,           0,
       52,   6780.00,    130.38,      1.99,      2.74,      0.38,      1.87,           2,           0,           4,           1,           0,           0,          46,           3,           0,
      366,  31090.00,     84.95,      1.32,      4.65,      0.15,      1.86,           2,           0,           6,           2,           0,           0,          20,           1,           0,
      430,  37930.00,     88.21,      1.30,      2.41,      0.13,      1.85,           2,           0,           1,           2,           0,           0,          20,           1,           0,
