# TimeStamp   : 2020-02-22 08:16:19
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2007-07-01 --> 2019-12-30
#
#  Ntrades,     NetPL,  AvgTrade, PftFactor,    NP/MDD, Expectancy,   Z-score, Side_switch,    MyStop, POI_switch, Distance_switch, FilterT_switch, Filter1L_switch, Filter1S_switch,    fractN,   epsilon, 
     1617, 205910.00,    127.34,      1.30,     13.37,      0.14,      3.59,           3,           0,           2,           2,           1,          26,           5,           1,           0, 
     1192, 131450.00,    110.28,      1.37,      8.54,      0.17,      3.58,           3,           0,           1,           2,          10,          25,          33,           1,           0, 
     1328, 144890.00,    109.10,      1.35,      8.99,      0.16,      3.58,           3,           0,           2,           2,          10,          33,          24,           1,           0, 
     1694, 206930.00,    122.15,      1.29,      9.90,      0.13,      3.57,           3,           0,           2,           2,           1,          26,          24,           2,           0, 
     1399, 149150.00,    106.61,      1.34,     10.74,      0.16,      3.57,           3,           0,           2,           2,          10,          28,          24,           1,           0, 
     1694, 206930.00,    122.15,      1.29,      9.90,      0.13,      3.57,           3,           0,           2,           2,           1,          26,          24,           2,           0, 
     1304, 175890.00,    134.88,      1.34,      9.11,      0.16,      3.57,           3,           0,           2,           2,           4,          32,          24,           1,           0, 
     1694, 206930.00,    122.15,      1.29,      9.90,      0.13,      3.57,           3,           0,           2,           2,           1,          26,          24,           2,           0, 
     1474, 193760.00,    131.45,      1.32,     13.56,      0.15,      3.56,           3,           0,           2,           2,           8,          26,           5,           1,           0, 
     1246, 146410.00,    117.50,      1.36,     10.93,      0.16,      3.55,           3,           0,           2,           2,          10,          26,          31,           2,           0, 
     1708, 205930.00,    120.57,      1.29,      8.79,      0.13,      3.54,           3,           0,           2,           2,           1,          26,          24,           1,           0, 
     1675, 201170.00,    120.10,      1.29,     11.40,      0.14,      3.54,           3,           0,           2,           2,           8,          26,          24,           2,           0, 
     1078, 132500.00,    122.91,      1.40,      9.47,      0.19,      3.54,           3,           0,           3,           2,          10,          32,          24,           2,           0, 
     1708, 205930.00,    120.57,      1.29,      8.79,      0.13,      3.54,           3,           0,           2,           2,           1,          26,          24,           1,           0, 
     1069, 147890.00,    138.34,      1.38,     10.84,      0.18,      3.54,           3,           0,           2,           1,           5,          14,          31,           1,           0, 
     1078, 132500.00,    122.91,      1.40,      9.47,      0.19,      3.54,           3,           0,           3,           2,          10,          32,          24,           2,           0, 
      977, 154900.00,    158.55,      1.39,     10.09,      0.18,      3.53,           3,           0,           2,           2,           8,          14,          31,           5,           0, 
     1740, 204550.00,    117.56,      1.28,      8.81,      0.13,      3.53,           3,           0,           1,           2,           7,          25,          24,           1,           0, 
     1269, 146690.00,    115.59,      1.35,     11.21,      0.16,      3.53,           3,           0,           2,           2,          10,          26,          31,           1,           0, 
     1764, 208440.00,    118.16,      1.28,      9.01,      0.13,      3.53,           3,           0,           2,           2,           9,          25,          24,           1,           0, 
     1269, 146690.00,    115.59,      1.35,     11.21,      0.16,      3.53,           3,           0,           2,           2,          10,          26,          31,           1,           0, 
     1764, 208440.00,    118.16,      1.28,      9.01,      0.13,      3.53,           3,           0,           2,           2,           9,          25,          24,           1,           0, 
      977, 154900.00,    158.55,      1.39,     10.09,      0.18,      3.53,           3,           0,           2,           2,           8,          14,          31,           5,           0, 
     1764, 208440.00,    118.16,      1.28,      9.01,      0.13,      3.53,           3,           0,           2,           2,           9,          25,          24,           1,           0, 
      977, 154900.00,    158.55,      1.39,     10.09,      0.18,      3.53,           3,           0,           2,           2,           8,          14,          31,           5,           0, 
     1269, 146690.00,    115.59,      1.35,     11.21,      0.16,      3.53,           3,           0,           2,           2,          10,          26,          31,           1,           0, 
     1044, 127750.00,    122.37,      1.41,      8.13,      0.19,      3.52,           3,           0,           3,           2,          10,          32,          24,           3,           0, 
     1705, 201870.00,    118.40,      1.29,      8.50,      0.13,      3.52,           3,           0,           1,           2,           5,          25,          24,           1,           0, 
     1038, 158470.00,    152.67,      1.39,      9.01,      0.17,      3.52,           3,           0,           1,           2,           5,          39,          24,           2,           0, 
     1023, 112600.00,    110.07,      1.43,      9.38,      0.20,      3.52,           3,           0,           2,           2,          10,          25,          24,           5,           0, 
     1511, 186840.00,    123.65,      1.31,      9.79,      0.14,      3.52,           3,           0,           2,           2,           7,          14,          24,           1,           0, 
     1038, 158470.00,    152.67,      1.39,      9.01,      0.17,      3.52,           3,           0,           1,           2,           5,          39,          24,           2,           0, 
     1044, 127750.00,    122.37,      1.41,      8.13,      0.19,      3.52,           3,           0,           3,           2,          10,          32,          24,           3,           0, 
     1209, 132990.00,    110.00,      1.37,      9.49,      0.17,      3.51,           3,           0,           3,           1,          10,          25,          24,           1,           0, 
     1063, 161540.00,    151.97,      1.38,     10.22,      0.17,      3.51,           3,           0,           1,           2,          11,          39,          24,           1,           0, 
     1209, 132990.00,    110.00,      1.37,      9.49,      0.17,      3.51,           3,           0,           3,           1,          10,          25,          24,           1,           0, 
      810, 116080.00,    143.31,      1.46,      9.13,      0.22,      3.50,           3,           0,           2,           2,          10,          42,          24,           3,           0, 
     1012, 111270.00,    109.95,      1.42,      8.53,      0.20,      3.50,           3,           0,           2,           2,          10,          26,          24,           5,           0, 
     1252, 136740.00,    109.22,      1.35,      8.51,      0.17,      3.48,           3,           0,           3,           2,          10,           4,          24,           3,           0, 
     1601, 155890.00,     97.37,      1.30,     11.31,      0.14,      3.48,           3,           0,           3,           2,          10,          26,          22,           2,           0, 
