# TimeStamp   : 2020-02-25 16:38:07
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2007-07-01 --> 2019-12-30
#
#  Ntrades,     NetPL,  AvgTrade, PftFactor,    NP/MDD, Expectancy,   Z-score, Side_switch,    MyStop, POI_switch, Distance_switch, FilterT_switch, Filter1L_switch, Filter1S_switch,    fractN,   epsilon, 
      220, 482470.00,   2193.05,      1.81,      8.87,      0.35,      2.95,           3,           0,           5,           1,          10,          25,          43,           3,           0, 
      586, 1111550.00,   1896.84,      1.40,      8.56,      0.17,      2.94,           3,           0,           3,           1,           8,          15,          13,           2,           0, 
      239, 492470.00,   2060.54,      1.73,      8.86,      0.31,      2.94,           3,           0,           1,           1,           9,          25,          43,           3,           0, 
     1623, 1503930.00,    926.64,      1.23,      8.78,      0.11,      2.93,           3,           0,           3,           1,           9,          14,          22,           1,           0, 
      517, 679010.00,   1313.37,      1.45,      8.44,      0.19,      2.92,           3,           0,           1,           1,          10,          13,          50,           3,           0, 
      635, 774400.00,   1219.53,      1.41,      8.20,      0.17,      2.92,           3,           0,           1,           1,          10,          15,          17,           3,           0, 
      235, 475320.00,   2022.64,      1.72,      8.19,      0.31,      2.91,           3,           0,           1,           1,           9,          25,           5,           3,           0, 
      247, 458440.00,   1856.03,      1.71,      9.15,      0.31,      2.90,           3,           0,           1,           1,           9,          33,          38,           3,           0, 
      392, 653210.00,   1666.35,      1.54,      8.34,      0.23,      2.89,           3,           0,           1,           1,          10,          22,          44,           3,           0, 
     1451, 1318580.00,    908.74,      1.24,      8.14,      0.11,      2.87,           3,           0,           6,           1,          10,          14,          50,           1,           0, 
      227, 476750.00,   2100.22,      1.71,      8.02,      0.30,      2.83,           3,           0,           1,           1,           9,          26,           5,           3,           0, 
     1216, 1181920.00,    971.97,      1.26,      8.06,      0.12,      2.82,           3,           0,           3,           2,          10,          14,          20,           2,           0, 
      556, 783120.00,   1408.49,      1.44,      8.03,      0.19,      2.80,           3,           0,           3,           1,           9,          14,          25,           3,           0, 
      412, 606230.00,   1471.43,      1.49,      8.05,      0.21,      2.70,           3,           0,           1,           1,          10,          15,          47,           3,           0, 
      457, 637440.00,   1394.84,      1.44,      9.88,      0.20,      2.68,           3,           0,           1,           1,          10,          14,          47,           3,           0, 
      415, 595230.00,   1434.29,      1.47,      8.78,      0.20,      2.61,           3,           0,           1,           1,           9,          15,          47,           3,           0, 
