
       ====================
          >>> BTfast <<<   
       ====================

    Strategy   : MasterCode
    Symbol     : GC
    TimeFrame  : M15
    Data File  : GC/GC_M15_2010-2014_2018-2019.csv

2020-06-08 11:54:10 | (Parallel) Running optimization 175 / 1224
2020-06-08 11:54:11 | (Parallel) Running optimization 176 / 1224
2020-06-08 11:54:11 | (Parallel) Running optimization 177 / 1224
2020-06-08 11:54:17 | (Parallel) Running optimization 178 / 1224
2020-06-08 11:54:17 | (Parallel) Running optimization 179 / 1224
2020-06-08 11:54:18 | (Parallel) Running optimization 180 / 1224
2020-06-08 11:54:18 | (Parallel) Running optimization 181 / 1224
2020-06-08 11:54:24 | (Parallel) Running optimization 182 / 1224
2020-06-08 11:54:24 | (Parallel) Running optimization 183 / 1224
2020-06-08 11:54:25 | (Parallel) Running optimization 184 / 1224
2020-06-08 11:54:25 | (Parallel) Running optimization 185 / 1224
2020-06-08 11:54:31 | (Parallel) Running optimization 186 / 1224
2020-06-08 11:54:31 | (Parallel) Running optimization 187 / 1224
2020-06-08 11:54:32 | (Parallel) Running optimization 188 / 1224
2020-06-08 11:54:32 | (Parallel) Running optimization 189 / 1224
2020-06-08 11:54:38 | (Parallel) Running optimization 190 / 1224
2020-06-08 11:54:38 | (Parallel) Running optimization 191 / 1224
2020-06-08 11:54:39 | (Parallel) Running optimization 192 / 1224
2020-06-08 11:54:39 | (Parallel) Running optimization 193 / 1224
2020-06-08 11:54:44 | (Parallel) Running optimization 194 / 1224
2020-06-08 11:54:45 | (Parallel) Running optimization 195 / 1224
2020-06-08 11:54:46 | (Parallel) Running optimization 196 / 1224
2020-06-08 11:54:46 | (Parallel) Running optimization 197 / 1224
2020-06-08 11:54:51 | (Parallel) Running optimization 198 / 1224
2020-06-08 11:54:52 | (Parallel) Running optimization 199 / 1224
2020-06-08 11:54:53 | (Parallel) Running optimization 200 / 1224
2020-06-08 11:54:53 | (Parallel) Running optimization 201 / 1224
2020-06-08 11:54:58 | (Parallel) Running optimization 202 / 1224
2020-06-08 11:54:59 | (Parallel) Running optimization 203 / 1224
2020-06-08 11:55:00 | (Parallel) Running optimization 204 / 1224
2020-06-08 11:55:00 | (Parallel) Running optimization 205 / 1224
2020-06-08 11:55:05 | (Parallel) Running optimization 206 / 1224
2020-06-08 11:55:06 | (Parallel) Running optimization 207 / 1224
2020-06-08 11:55:07 | (Parallel) Running optimization 208 / 1224
2020-06-08 11:55:07 | (Parallel) Running optimization 209 / 1224
2020-06-08 11:55:12 | (Parallel) Running optimization 210 / 1224
2020-06-08 11:55:14 | (Parallel) Running optimization 211 / 1224
2020-06-08 11:55:14 | (Parallel) Running optimization 212 / 1224
2020-06-08 11:55:15 | (Parallel) Running optimization 213 / 1224
2020-06-08 11:55:19 | (Parallel) Running optimization 214 / 1224
2020-06-08 11:55:21 | (Parallel) Running optimization 215 / 1224
2020-06-08 11:55:21 | (Parallel) Running optimization 216 / 1224
2020-06-08 11:55:22 | (Parallel) Running optimization 217 / 1224
2020-06-08 11:55:26 | (Parallel) Running optimization 218 / 1224
2020-06-08 11:55:28 | (Parallel) Running optimization 219 / 1224
