# TimeStamp   : 2020-08-24 10:29:49
# Strategy    : MasterCode
# Symbol      : RTY
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-31
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# === All parameters need to be INTEGER ===
# 
#  - Main node within <Inputs> and </Inputs>
# 
#  - Fixed-input parameters are with syntax:
# 
#     <Input>
#       <Name>parameter_name</Name>
#       <Value>0.5</Value>
#     </Input>
# 
#  - Optimizable parameter are with syntax:
# 
#     <OptRange>
#       <Name>parameter_name</Name>
#       <Start>1</Start>
#       <Stop>20</Stop>
#       <Step>1</Step>
#     </OptRange>
# 
# For Backtest: only the <Start> value of <OptRange> parameters is read.
# 
# Names of input variables must match those in 'mode_factory_sequential'
# 
# Names of optimization variables ("fractN_long", "fractN_short")
# and "Side_switch" must match in 'validation.cpp'
# 
# -->
# <Inputs>
#     <Input>
#         <Name>BOMR_switch</Name>        <!-- 1 = BO, 2 = MR -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1 = L, 2 = S, 3 = both -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..8:1 -->
#         <Start>1</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..4:1 -->
#         <Start>1</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_long</Name>        <!-- 0..4:1 -->
#         <Start>0</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_short</Name>       <!-- 0..4:1 -->
#         <Start>0</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>DOW_switch</Name>         <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Intraday_switch</Name>    <!-- 0..10:1 -->
#         <Start>0</Start>
#         <Stop>10</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..56:1 -->
#         <Start>0</Start>
#         <Stop>56</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..56:1 -->
#         <Start>0</Start>
#         <Stop>56</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Exit_switch</Name>        <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeL_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeS_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>DPS_switch</Name>         <!--  0 (false) or 1 (true) -->
#         <Value>0</Value>
#     </Input>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,BOMR_switch,Side_switch,   MyStop,POI_switch,Distance_switch,fractN_long,fractN_short,DOW_switch,Intraday_switch,Filter1L_switch,Filter1S_switch,Exit_switch,MktRegimeL_switch,MktRegimeS_switch,DPS_switch,  epsilon,
      142,     0.69,    52.11,     1.02,     0.18,     0.01,     0.10,          2,          2,          0,          8,          4,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      307,     0.56,    46.58,     1.01,     0.09,     0.01,     0.09,          2,          2,          0,          3,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      157,     0.62,    45.86,     1.02,     0.11,     0.01,     0.09,          2,          2,          0,          6,          3,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      120,     1.65,    46.67,     1.02,     0.09,     0.01,     0.08,          2,          2,          0,          1,          1,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      119,     1.72,    42.02,     1.02,     0.10,     0.01,     0.07,          2,          2,          0,          4,          3,          0,          3,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      152,     1.20,    43.42,     1.01,     0.07,     0.01,     0.06,          2,          2,          0,          3,          3,          0,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,
       38,     2.11,    36.84,     1.03,     0.08,     0.02,     0.05,          2,          2,          0,          7,          3,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      578,     0.28,    44.46,     1.01,     0.05,     0.00,     0.05,          2,          2,          0,          4,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       39,     1.67,    35.90,     1.02,     0.04,     0.01,     0.04,          2,          2,          0,          3,          2,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      504,     0.21,    45.24,     1.00,     0.04,     0.00,     0.04,          2,          2,          0,          4,          3,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      578,     0.19,    44.12,     1.00,     0.03,     0.00,     0.03,          2,          2,          0,          4,          2,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       10,    28.00,    40.00,     1.48,     0.92,     0.29,     0.00,          2,          2,          0,          1,          3,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
       10,   -60.70,    30.00,     0.26,    -0.98,    -0.52,     0.00,          2,          2,          0,          2,          3,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
       10,    -9.50,    40.00,     0.72,    -0.58,    -0.17,     0.00,          2,          2,          0,          1,          3,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
        5,   -37.40,    20.00,     0.26,    -1.00,    -0.59,     0.00,          2,          2,          0,          6,          3,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       26,    21.04,    57.69,     2.35,     2.32,     0.57,     0.00,          2,          2,          0,          8,          3,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       19,   -22.26,    42.11,     0.46,    -0.78,    -0.32,     0.00,          2,          2,          0,          4,          3,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       19,   -74.58,    42.11,     0.29,    -0.89,    -0.41,     0.00,          2,          2,          0,          4,          3,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
       23,    -0.09,    47.83,     1.00,    -0.01,    -0.00,     0.00,          2,          2,          0,          8,          2,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
        3,   -29.33,    33.33,     0.15,    -0.85,    -0.56,     0.00,          2,          2,          0,          8,          3,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       22,    28.45,    40.91,     1.50,     0.90,     0.29,     0.00,          2,          2,          0,          8,          2,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
        5,   -29.60,    20.00,     0.53,    -0.72,    -0.38,     0.00,          2,          2,          0,          3,          3,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       10,   -27.90,    30.00,     0.38,    -0.96,    -0.43,     0.00,          2,          2,          0,          2,          3,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
