# TimeStamp   : 2020-07-29 16:31:34
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2009-10-01 --> 2019-12-30
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# === All parameters need to be INTEGER ===
# 
#  - Main node within <Inputs> and </Inputs>
# 
#  - Fixed-input parameters are with syntax:
# 
#     <Input>
#       <Name>parameter_name</Name>
#       <Value>0.5</Value>
#     </Input>
# 
#  - Optimizable parameter are with syntax:
# 
#     <OptRange>
#       <Name>parameter_name</Name>
#       <Start>1</Start>
#       <Stop>20</Stop>
#       <Step>1</Step>
#     </OptRange>
# 
# For Backtest: only the <Start> value of <OptRange> parameters is read.
# 
# Names of input variables must match those in 'mode_factory_sequential'
# 
# Names of optimization variables ("fractN_long", "fractN_short")
# and "Side_switch" must match in 'validation.cpp'
# 
# -->
# <Inputs>
#     <Input>
#         <Name>BOMR_switch</Name>        <!-- 1 = BO, 2 = MR -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1 = L, 2 = S, 3 = both -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..8:1 -->
#         <Start>1</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..4:1 -->
#         <Start>1</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>DOW_switch</Name>         <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Intraday_switch</Name>    <!-- 0..10:1 -->
#         <Start>0</Start>
#         <Stop>10</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..56:1 -->
#         <Start>0</Start>
#         <Stop>56</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..56:1 -->
#         <Start>0</Start>
#         <Stop>56</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeL_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeS_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>DPS_switch</Name>         <!--  0 (false) or 1 (true) -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>Exit_switch</Name>        <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>1</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_long</Name>        <!-- 0..4:1 -->
#         <Start>0</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_short</Name>       <!-- 0..4:1 -->
#         <Start>0</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,BOMR_switch,Side_switch,   MyStop,POI_switch,Distance_switch,DOW_switch,Intraday_switch,Filter1L_switch,Filter1S_switch,MktRegimeL_switch,MktRegimeS_switch,DPS_switch,Exit_switch,fractN_long,fractN_short,  epsilon,
      228,    16.61,    58.77,     1.76,     3.45,     0.31,     2.70,          2,          2,          0,          6,          3,          0,          0,          0,         41,          0,          0,          0,          1,          0,          1,          0,
      464,    15.71,    57.54,     1.50,     3.88,     0.21,     2.69,          2,          2,          0,          6,          2,          5,          6,          0,         14,          0,          0,          0,          1,          0,          0,          0,
      275,    16.68,    57.82,     1.76,     4.24,     0.32,     2.69,          2,          2,          0,          6,          3,          0,          0,          0,         41,          0,          0,          0,          1,          0,          0,          0,
      408,    17.26,    55.64,     1.56,     4.79,     0.25,     2.67,          2,          2,          0,          6,          2,          5,          0,          0,         21,          0,          0,          0,          1,          0,          2,          0,
      554,    11.03,    52.35,     1.39,     6.25,     0.18,     2.65,          2,          2,          0,          6,          1,          5,         10,          0,          0,          0,          0,          0,          1,          0,          0,          0,
      354,    17.00,    56.78,     1.56,     3.26,     0.24,     2.65,          2,          2,          0,          6,          3,          5,          0,          0,         14,          0,          0,          0,          1,          0,          1,          0,
       86,    24.24,    56.98,     2.13,     5.29,     0.49,     2.64,          2,          2,          0,          6,          2,          5,         10,          0,         56,          0,          0,          0,          1,          0,          0,          0,
      440,    15.47,    55.45,     1.52,     3.97,     0.23,     2.64,          2,          2,          0,          6,          3,          5,          0,          0,         14,          0,          0,          0,          1,          0,          0,          0,
      481,    14.65,    56.13,     1.47,     4.20,     0.21,     2.62,          2,          2,          0,          6,          2,          5,          6,          0,         21,          0,          0,          0,          1,          0,          0,          0,
      275,    17.10,    58.91,     1.73,     4.08,     0.30,     2.61,          2,          2,          0,          6,          4,          0,          0,          0,         41,          0,          0,          0,          1,          0,          3,          0,
      250,    17.56,    58.80,     1.79,     4.04,     0.33,     2.60,          2,          2,          0,          6,          2,          0,          0,          0,         41,          0,          0,          0,          1,          0,          2,          0,
      393,    12.57,    57.00,     1.43,     6.12,     0.18,     2.60,          2,          2,          0,          6,          1,          0,          0,          0,         13,          0,          0,          0,          1,          0,          1,          0,
      474,    11.70,    51.90,     1.42,     5.73,     0.20,     2.60,          2,          2,          0,          6,          1,          5,         10,          0,         40,          0,          0,          0,          1,          0,          0,          0,
      387,    16.71,    56.59,     1.56,     4.22,     0.24,     2.60,          2,          2,          0,          6,          2,          5,          0,          0,         14,          0,          0,          0,          1,          0,          2,          0,
      280,    15.74,    58.93,     1.72,     4.09,     0.30,     2.60,          2,          2,          0,          6,          1,          0,          0,          0,         41,          0,          0,          0,          1,          0,          1,          0,
      304,    14.63,    56.25,     1.56,     7.27,     0.25,     2.60,          2,          2,          0,          6,          2,          5,         10,          0,         19,          0,          0,          0,          1,          0,          0,          0,
      371,    17.12,    55.26,     1.54,     3.75,     0.24,     2.60,          2,          2,          0,          6,          3,          5,          0,          0,         21,          0,          0,          0,          1,          0,          1,          0,
       86,    23.93,    58.14,     2.10,     5.09,     0.46,     2.59,          2,          2,          0,          6,          1,          5,         10,          0,         56,          0,          0,          0,          1,          0,          0,          0,
      392,    12.56,    57.91,     1.43,     4.78,     0.18,     2.59,          2,          2,          0,          6,          4,          0,          0,          0,         13,          0,          0,          0,          1,          0,          3,          0,
      249,    17.17,    56.22,     1.57,     5.66,     0.25,     2.58,          2,          2,          0,          6,          4,          5,          0,          0,         13,          0,          0,          0,          1,          0,          4,          0,
      463,    14.80,    56.80,     1.48,     3.43,     0.21,     2.57,          2,          2,          0,          6,          2,          5,          0,          0,         14,          0,          0,          0,          1,          0,          1,          0,
      554,    10.84,    51.81,     1.37,     6.30,     0.18,     2.57,          2,          2,          0,          6,          2,          5,         10,          0,          0,          0,          0,          0,          1,          0,          0,          0,
      587,    13.43,    53.83,     1.41,     4.37,     0.19,     2.57,          2,          2,          0,          6,          4,          5,          0,          0,          0,          0,          0,          0,          1,          0,          3,          0,
