# TimeStamp   : 2020-07-15 10:12:22
# Strategy    : MasterCode
# Symbol      : W
# TimeFrame   : M10
# Date Range  : 2010-01-04 --> 2019-12-31
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# === All parameters need to be INTEGER ===
# 
#  - Main node within <Inputs> and </Inputs>
# 
#  - Fixed-input parameters are with syntax:
# 
#     <Input>
#       <Name>parameter_name</Name>
#       <Value>0.5</Value>
#     </Input>
# 
#  - Optimizable parameter are with syntax:
# 
#     <OptRange>
#       <Name>parameter_name</Name>
#       <Start>1</Start>
#       <Stop>20</Stop>
#       <Step>1</Step>
#     </OptRange>
# 
# For Backtest: only the <Start> value of <OptRange> parameters is read.
# 
# Names of input variables must match those in 'mode_factory_sequential'
# -->
# <Inputs>
#     <Input>
#         <Name>BOMR_switch</Name>        <!-- 1 = BO, 2 = MR -->
#         <Value>1</Value>
#     </Input>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1 = L, 2 = S, 3 = both -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..7:1 -->
#         <Start>1</Start>
#         <Stop>7</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..4:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>DOW_switch</Name>         <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Intraday_switch</Name>    <!-- 0..10:1 -->
#         <Start>0</Start>
#         <Stop>10</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>42</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>42</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeL_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeS_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>DPS_switch</Name>         <!--  0 (false) or 1 (true) -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>fractN_long</Name>        <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_short</Name>       <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades,  AvgTicks,   WinPerc, PftFactor,    NP/MDD, Expectancy,   Z-score, BOMR_switch, Side_switch,    MyStop, POI_switch, Distance_switch, DOW_switch, Intraday_switch, Filter1L_switch, Filter1S_switch, MktRegimeL_switch, MktRegimeS_switch, DPS_switch, fractN_long, fractN_short,   epsilon, 
     1049,      1.44,     49.38,      1.14,      1.48,      0.07,      0.90,           1,           2,           0,           5,           1,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0, 
      210,      6.35,     41.43,      1.61,      3.95,      0.36,      0.90,           1,           2,           0,           3,           1,           0,           0,           0,           0,           0,           0,           0,           0,           4,           0, 
      940,      1.55,     48.72,      1.15,      1.39,      0.08,      0.87,           1,           2,           0,           2,           2,           0,           0,           0,           0,           0,           0,           0,           0,           2,           0, 
      163,      7.71,     47.85,      1.60,      3.19,      0.31,      0.86,           1,           2,           0,           3,           2,           0,           0,           0,           0,           0,           0,           0,           0,           4,           0, 
      421,      3.09,     49.88,      1.32,      1.66,      0.16,      0.86,           1,           2,           0,           7,           1,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
     1093,      1.25,     49.13,      1.12,      1.42,      0.06,      0.80,           1,           2,           0,           4,           2,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
       40,      5.07,     45.00,      1.51,      1.20,      0.28,      0.78,           1,           2,           0,           1,           1,           0,           0,           0,           0,           0,           0,           0,           0,           5,           0, 
      133,      8.11,     47.37,      1.61,      2.04,      0.32,      0.74,           1,           2,           0,           6,           2,           0,           0,           0,           0,           0,           0,           0,           0,           4,           0, 
     1073,      1.06,     49.67,      1.10,      0.88,      0.05,      0.67,           1,           2,           0,           2,           2,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0, 
     1125,      1.01,     49.16,      1.10,      0.76,      0.05,      0.66,           1,           2,           0,           2,           1,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
     1095,      1.01,     48.58,      1.10,      0.91,      0.05,      0.65,           1,           2,           0,           4,           1,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
      550,      0.90,     48.91,      1.08,      0.94,      0.04,      0.63,           1,           2,           0,           1,           1,           0,           0,           0,           0,           0,           0,           0,           0,           3,           0, 
      173,      1.67,     50.29,      1.14,      0.71,      0.07,      0.62,           1,           2,           0,           1,           2,           0,           0,           0,           0,           0,           0,           0,           0,           4,           0, 
      492,      1.76,     47.36,      1.17,      1.01,      0.09,      0.56,           1,           2,           0,           6,           1,           0,           0,           0,           0,           0,           0,           0,           0,           2,           0, 
     1066,      0.85,     47.84,      1.08,      0.68,      0.04,      0.54,           1,           2,           0,           2,           1,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0, 
      580,      1.37,     46.72,      1.14,      0.77,      0.07,      0.51,           1,           2,           0,           6,           1,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0, 
      926,      0.85,     48.06,      1.08,      0.69,      0.04,      0.48,           1,           2,           0,           2,           1,           0,           0,           0,           0,           0,           0,           0,           0,           2,           0, 
      581,      1.27,     47.85,      1.12,      0.66,      0.06,      0.48,           1,           2,           0,           6,           2,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0, 
       40,      2.84,     37.50,      1.23,      0.60,      0.14,      0.45,           1,           2,           0,           5,           2,           0,           0,           0,           0,           0,           0,           0,           0,           5,           0, 
       51,      2.74,     50.98,      1.21,      0.48,      0.10,      0.45,           1,           2,           0,           3,           1,           0,           0,           0,           0,           0,           0,           0,           0,           5,           0, 
       75,      2.17,     44.00,      1.18,      0.74,      0.10,      0.45,           1,           2,           0,           5,           1,           0,           0,           0,           0,           0,           0,           0,           0,           5,           0, 
       42,      3.01,     50.00,      1.23,      0.60,      0.11,      0.42,           1,           2,           0,           6,           1,           0,           0,           0,           0,           0,           0,           0,           0,           5,           0, 
