# TimeStamp   : 2020-08-17 11:06:11
# Strategy    : GC1
# Symbol      : GC
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-31
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,Side_switch,   MyStop,fractN_long,fractN_short,  epsilon,
      326,    15.99,    54.60,     1.64,    11.31,     0.29,     3.08,          1,          0,          0,          0,          0,
      328,    11.58,    53.35,     1.41,     7.87,     0.19,     2.13,          1,          0,          0,          0,          0,
      334,    11.86,    52.69,     1.43,     6.45,     0.20,     2.28,          1,          0,          0,          0,          0,
      327,    12.91,    55.66,     1.47,     6.29,     0.21,     2.42,          1,          0,          0,          0,          0,
      328,    10.79,    50.61,     1.37,     4.08,     0.18,     1.98,          1,          0,          0,          0,          0,
      330,    13.71,    52.12,     1.52,     7.50,     0.25,     2.59,          1,          0,          0,          0,          0,
      336,     8.63,    51.19,     1.28,     2.57,     0.14,     1.55,          1,          0,          0,          0,          0,
      325,    13.80,    53.54,     1.51,     6.81,     0.24,     2.60,          1,          0,          0,          0,          0,
      331,    13.79,    53.47,     1.52,     7.39,     0.24,     2.64,          1,          0,          0,          0,          0,
      333,    10.64,    51.65,     1.37,     3.55,     0.18,     1.97,          1,          0,          0,          0,          0,
      330,    14.17,    54.55,     1.54,     8.64,     0.24,     2.73,          1,          0,          0,          0,          0,
      326,    14.38,    53.68,     1.54,     7.92,     0.25,     2.70,          1,          0,          0,          0,          0,
      331,    10.44,    52.87,     1.36,     4.31,     0.17,     1.94,          1,          0,          0,          0,          0,
      331,    10.08,    51.96,     1.35,     4.16,     0.17,     1.87,          1,          0,          0,          0,          0,
      333,     8.87,    52.55,     1.28,     3.40,     0.13,     1.56,          1,          0,          0,          0,          0,
      334,    12.55,    53.29,     1.46,     6.00,     0.22,     2.40,          1,          0,          0,          0,          0,
      328,    13.54,    52.44,     1.50,     6.15,     0.24,     2.56,          1,          0,          0,          0,          0,
      327,    13.18,    55.05,     1.47,     7.18,     0.21,     2.39,          1,          0,          0,          0,          0,
      331,    11.12,    52.87,     1.39,     2.76,     0.18,     2.07,          1,          0,          0,          0,          0,
      328,    12.69,    50.91,     1.45,     5.52,     0.22,     2.33,          1,          0,          0,          0,          0,
      330,    15.67,    53.64,     1.60,     7.96,     0.28,     2.95,          1,          0,          0,          0,          0,
      329,    12.81,    52.58,     1.47,     5.08,     0.22,     2.36,          1,          0,          0,          0,          0,
      335,     8.37,    50.75,     1.28,     4.59,     0.14,     1.56,          1,          0,          0,          0,          0,
      329,    15.03,    53.50,     1.59,     8.51,     0.27,     2.94,          1,          0,          0,          0,          0,
      325,    15.38,    53.85,     1.61,     8.67,     0.28,     2.98,          1,          0,          0,          0,          0,
      333,    11.81,    50.45,     1.43,     6.08,     0.21,     2.23,          1,          0,          0,          0,          0,
      328,    12.98,    54.88,     1.46,     7.04,     0.21,     2.40,          1,          0,          0,          0,          0,
      327,    13.39,    54.74,     1.49,     5.23,     0.22,     2.48,          1,          0,          0,          0,          0,
      338,     7.98,    51.48,     1.26,     3.28,     0.13,     1.49,          1,          0,          0,          0,          0,
      333,    10.42,    50.75,     1.36,     3.51,     0.18,     1.86,          1,          0,          0,          0,          0,
      324,    13.72,    53.09,     1.52,     8.66,     0.24,     2.56,          1,          0,          0,          0,          0,
      332,    11.45,    52.71,     1.40,     5.31,     0.19,     2.12,          1,          0,          0,          0,          0,
      335,    11.73,    52.24,     1.43,     5.36,     0.20,     2.24,          1,          0,          0,          0,          0,
      325,    13.04,    51.08,     1.48,     8.17,     0.24,     2.46,          1,          0,          0,          0,          0,
      326,    12.17,    51.84,     1.44,     5.47,     0.21,     2.23,          1,          0,          0,          0,          0,
      326,    11.77,    53.37,     1.42,     4.64,     0.19,     2.12,          1,          0,          0,          0,          0,
      330,    13.64,    53.94,     1.51,     9.66,     0.23,     2.58,          1,          0,          0,          0,          0,
      330,    11.47,    52.73,     1.41,     7.28,     0.19,     2.15,          1,          0,          0,          0,          0,
      332,    14.50,    54.22,     1.56,     6.17,     0.26,     2.83,          1,          0,          0,          0,          0,
      335,    10.32,    51.94,     1.36,     4.66,     0.18,     1.98,          1,          0,          0,          0,          0,
      334,    10.35,    52.10,     1.36,     3.98,     0.17,     1.93,          1,          0,          0,          0,          0,
      328,    13.08,    53.96,     1.48,     6.52,     0.22,     2.47,          1,          0,          0,          0,          0,
      332,    12.53,    52.41,     1.45,     4.88,     0.21,     2.34,          1,          0,          0,          0,          0,
      333,    11.95,    52.55,     1.42,     4.07,     0.20,     2.25,          1,          0,          0,          0,          0,
      332,     9.60,    53.01,     1.32,     4.36,     0.15,     1.74,          1,          0,          0,          0,          0,
      324,    14.43,    54.01,     1.55,     7.97,     0.25,     2.71,          1,          0,          0,          0,          0,
      324,    13.98,    53.70,     1.52,     4.78,     0.24,     2.59,          1,          0,          0,          0,          0,
      326,    13.48,    52.76,     1.50,     5.97,     0.24,     2.54,          1,          0,          0,          0,          0,
      330,    11.68,    51.52,     1.42,     7.09,     0.21,     2.23,          1,          0,          0,          0,          0,
