# TimeStamp   : 2020-07-15 10:21:02
# Strategy    : MasterCode
# Symbol      : C
# TimeFrame   : M10
# Date Range  : 2010-01-04 --> 2019-12-30
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# === All parameters need to be INTEGER ===
# 
#  - Main node within <Inputs> and </Inputs>
# 
#  - Fixed-input parameters are with syntax:
# 
#     <Input>
#       <Name>parameter_name</Name>
#       <Value>0.5</Value>
#     </Input>
# 
#  - Optimizable parameter are with syntax:
# 
#     <OptRange>
#       <Name>parameter_name</Name>
#       <Start>1</Start>
#       <Stop>20</Stop>
#       <Step>1</Step>
#     </OptRange>
# 
# For Backtest: only the <Start> value of <OptRange> parameters is read.
# 
# Names of input variables must match those in 'mode_factory_sequential'
# -->
# <Inputs>
#     <Input>
#         <Name>BOMR_switch</Name>        <!-- 1 = BO, 2 = MR -->
#         <Value>1</Value>
#     </Input>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1 = L, 2 = S, 3 = both -->
#         <Value>1</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..7:1 -->
#         <Start>1</Start>
#         <Stop>7</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..4:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>DOW_switch</Name>         <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Intraday_switch</Name>    <!-- 0..10:1 -->
#         <Start>0</Start>
#         <Stop>10</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>42</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>42</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeL_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeS_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>DPS_switch</Name>         <!--  0 (false) or 1 (true) -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>fractN_long</Name>        <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_short</Name>       <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades,  AvgTicks,   WinPerc, PftFactor,    NP/MDD, Expectancy,   Z-score, BOMR_switch, Side_switch,    MyStop, POI_switch, Distance_switch, DOW_switch, Intraday_switch, Filter1L_switch, Filter1S_switch, MktRegimeL_switch, MktRegimeS_switch, DPS_switch, fractN_long, fractN_short,   epsilon, 
      197,     -0.27,     49.75,      0.96,     -0.16,     -0.02,     -0.12,           1,           1,           0,           4,           1,           0,           0,           0,           0,           0,           0,           0,           3,           0,           0, 
       96,     -0.56,     53.12,      0.93,     -0.17,     -0.03,     -0.16,           1,           1,           0,           5,           2,           0,           0,           0,           0,           0,           0,           0,           4,           0,           0, 
       45,     -0.58,     46.67,      0.91,     -0.22,     -0.05,     -0.18,           1,           1,           0,           6,           2,           0,           0,           0,           0,           0,           0,           0,           4,           0,           0, 
      195,     -0.50,     48.21,      0.93,     -0.32,     -0.04,     -0.23,           1,           1,           0,           5,           1,           0,           0,           0,           0,           0,           0,           0,           3,           0,           0, 
       30,     -2.46,     40.00,      0.82,     -0.25,     -0.11,     -0.23,           1,           1,           0,           4,           1,           0,           0,           0,           0,           0,           0,           0,           5,           0,           0, 
       97,     -1.13,     47.42,      0.87,     -0.28,     -0.07,     -0.28,           1,           1,           0,           4,           2,           0,           0,           0,           0,           0,           0,           0,           4,           0,           0, 
      138,     -1.17,     50.00,      0.87,     -0.38,     -0.07,     -0.33,           1,           1,           0,           6,           2,           0,           0,           0,           0,           0,           0,           0,           2,           0,           0, 
      288,     -1.04,     49.65,      0.87,     -0.30,     -0.07,     -0.36,           1,           1,           0,           1,           2,           0,           0,           0,           0,           0,           0,           0,           2,           0,           0, 
      182,     -0.91,     45.60,      0.88,     -0.48,     -0.06,     -0.38,           1,           1,           0,           3,           1,           0,           0,           0,           0,           0,           0,           0,           2,           0,           0, 
       56,     -2.95,     53.57,      0.76,     -0.37,     -0.11,     -0.38,           1,           1,           0,           3,           2,           0,           0,           0,           0,           0,           0,           0,           4,           0,           0, 
      164,     -1.12,     47.56,      0.86,     -0.52,     -0.07,     -0.39,           1,           1,           0,           6,           2,           0,           0,           0,           0,           0,           0,           0,           1,           0,           0, 
      412,     -0.85,     50.73,      0.87,     -0.32,     -0.06,     -0.42,           1,           1,           0,           1,           1,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
      405,     -0.88,     51.36,      0.87,     -0.35,     -0.06,     -0.43,           1,           1,           0,           1,           2,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
      183,     -1.28,     49.18,      0.84,     -0.59,     -0.08,     -0.50,           1,           1,           0,           6,           2,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
      291,     -1.44,     49.48,      0.83,     -0.43,     -0.09,     -0.50,           1,           1,           0,           1,           1,           0,           0,           0,           0,           0,           0,           0,           2,           0,           0, 
      169,     -1.50,     49.11,      0.82,     -0.62,     -0.09,     -0.53,           1,           1,           0,           6,           1,           0,           0,           0,           0,           0,           0,           0,           1,           0,           0, 
      140,     -1.95,     49.29,      0.80,     -0.63,     -0.10,     -0.54,           1,           1,           0,           6,           1,           0,           0,           0,           0,           0,           0,           0,           2,           0,           0, 
      365,     -1.33,     50.68,      0.82,     -0.41,     -0.09,     -0.58,           1,           1,           0,           1,           2,           0,           0,           0,           0,           0,           0,           0,           1,           0,           0, 
      172,     -2.98,     53.49,      0.73,     -0.52,     -0.12,     -0.62,           1,           1,           0,           1,           2,           0,           0,           0,           0,           0,           0,           0,           3,           0,           0, 
      185,     -1.69,     49.19,      0.79,     -0.67,     -0.11,     -0.66,           1,           1,           0,           6,           1,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
      124,     -2.83,     47.58,      0.71,     -0.72,     -0.15,     -0.75,           1,           1,           0,           7,           1,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
      117,     -3.15,     44.44,      0.70,     -0.73,     -0.17,     -0.76,           1,           1,           0,           7,           1,           0,           0,           0,           0,           0,           0,           0,           1,           0,           0, 
      378,     -1.69,     48.94,      0.77,     -0.54,     -0.12,     -0.77,           1,           1,           0,           1,           1,           0,           0,           0,           0,           0,           0,           0,           1,           0,           0, 
      125,     -2.98,     48.00,      0.69,     -0.72,     -0.16,     -0.80,           1,           1,           0,           7,           2,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
      120,     -3.28,     45.83,      0.68,     -0.74,     -0.17,     -0.82,           1,           1,           0,           7,           2,           0,           0,           0,           0,           0,           0,           0,           1,           0,           0, 
      195,     -3.98,     45.64,      0.64,     -0.74,     -0.19,     -0.93,           1,           1,           0,           1,           1,           0,           0,           0,           0,           0,           0,           0,           3,           0,           0, 
       94,     -5.28,     47.87,      0.58,     -0.79,     -0.22,     -0.96,           1,           1,           0,           6,           2,           0,           0,           0,           0,           0,           0,           0,           3,           0,           0, 
      104,     -4.97,     45.19,      0.58,     -0.83,     -0.23,     -0.96,           1,           1,           0,           6,           1,           0,           0,           0,           0,           0,           0,           0,           3,           0,           0, 
       89,     -5.13,     38.20,      0.61,     -0.69,     -0.24,     -0.99,           1,           1,           0,           1,           1,           0,           0,           0,           0,           0,           0,           0,           4,           0,           0, 
       66,     -9.23,     50.00,      0.53,     -0.76,     -0.23,     -0.99,           1,           1,           0,           1,           2,           0,           0,           0,           0,           0,           0,           0,           4,           0,           0, 
      127,     -5.32,     51.18,      0.59,     -0.79,     -0.20,     -1.02,           1,           1,           0,           3,           1,           0,           0,           0,           0,           0,           0,           0,           3,           0,           0, 
      121,     -5.69,     47.11,      0.57,     -0.77,     -0.23,     -1.07,           1,           1,           0,           3,           2,           0,           0,           0,           0,           0,           0,           0,           3,           0,           0, 
      101,     -5.39,     46.53,      0.57,     -0.81,     -0.23,     -1.09,           1,           1,           0,           7,           2,           0,           0,           0,           0,           0,           0,           0,           2,           0,           0, 
       70,     -8.49,     38.57,      0.49,     -0.78,     -0.32,     -1.12,           1,           1,           0,           3,           1,           0,           0,           0,           0,           0,           0,           0,           4,           0,           0, 
      100,     -5.85,     42.00,      0.53,     -0.81,     -0.27,     -1.17,           1,           1,           0,           7,           1,           0,           0,           0,           0,           0,           0,           0,           2,           0,           0, 
      104,     -8.34,     41.35,      0.46,     -0.85,     -0.32,     -1.30,           1,           1,           0,           5,           1,           0,           0,           0,           0,           0,           0,           0,           4,           0,           0, 
      107,     -8.59,     41.12,      0.45,     -0.85,     -0.33,     -1.36,           1,           1,           0,           4,           1,           0,           0,           0,           0,           0,           0,           0,           4,           0,           0, 
      104,     -8.99,     40.38,      0.45,     -0.86,     -0.33,     -1.40,           1,           1,           0,           2,           1,           0,           0,           0,           0,           0,           0,           0,           4,           0,           0, 
       66,    -16.09,     45.45,      0.32,     -0.89,     -0.37,     -1.50,           1,           1,           0,           7,           1,           0,           0,           0,           0,           0,           0,           0,           3,           0,           0, 
       57,    -15.38,     33.33,      0.26,     -0.87,     -0.49,     -1.54,           1,           1,           0,           6,           1,           0,           0,           0,           0,           0,           0,           0,           4,           0,           0, 
       67,    -16.62,     49.25,      0.29,     -0.92,     -0.36,     -1.59,           1,           1,           0,           7,           2,           0,           0,           0,           0,           0,           0,           0,           3,           0,           0, 
