# TimeStamp   : 2020-08-04 07:19:05
# Strategy    : MasterCode
# Symbol      : RTY
# TimeFrame   : M10
# Date Range  : 2010-01-01 --> 2019-12-31
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,BOMR_switch,Side_switch,   MyStop,POI_switch,Distance_switch,DOW_switch,Intraday_switch,Filter1L_switch,Filter1S_switch,MktRegimeL_switch,MktRegimeS_switch,DPS_switch,Exit_switch,fractN_long,fractN_short,  epsilon,
      316,    40.43,    58.54,     1.60,     6.14,     0.25,     2.36,          2,          1,          0,          1,          4,          0,          0,         14,          0,          0,          0,          0,          2,          3,          0,          0,
      325,    40.45,    57.85,     1.55,     6.10,     0.23,     2.36,          2,          1,          0,          1,          4,          0,          0,         17,          0,          0,          0,          0,          2,          1,          0,          0,
      321,    40.88,    59.81,     1.57,     5.62,     0.23,     2.35,          2,          1,          0,          4,          1,          0,          0,          6,          0,          0,          0,          0,          2,          1,          0,          0,
      315,    40.49,    59.68,     1.60,     6.07,     0.24,     2.35,          2,          1,          0,          1,          2,          0,          0,         14,          0,          0,          0,          0,          2,          2,          0,          0,
      319,    42.18,    59.87,     1.57,     4.19,     0.23,     2.35,          2,          1,          0,          1,          3,          0,          0,          1,          0,          0,          0,          0,          2,          0,          0,          0,
      301,    43.03,    60.13,     1.63,     6.32,     0.25,     2.34,          2,          1,          0,          4,          2,          0,          0,         55,          0,          0,          0,          0,          2,          1,          0,          0,
      335,    12.40,    53.43,     1.41,     6.58,     0.19,     2.34,          2,          1,          0,          4,          2,          1,          3,          1,          0,          0,          0,          0,          1,          1,          0,          0,
      303,    42.22,    59.74,     1.61,     6.15,     0.24,     2.33,          2,          1,          0,          4,          1,          0,          3,         39,          0,          0,          0,          0,          2,          2,          0,          0,
      316,    40.26,    60.76,     1.58,     5.01,     0.23,     2.33,          2,          1,          0,          1,          2,          0,          0,          6,          0,          0,          0,          0,          2,          3,          0,          0,
      295,    41.62,    59.66,     1.64,     6.21,     0.26,     2.33,          2,          1,          0,          1,          1,          0,          0,         14,          0,          0,          0,          0,          2,          3,          0,          0,
      305,    42.08,    60.00,     1.59,     4.20,     0.24,     2.32,          2,          1,          0,          2,          1,          5,          0,          1,          0,          0,          0,          0,          2,          2,          0,          0,
      322,    40.27,    59.94,     1.57,     5.40,     0.23,     2.32,          2,          1,          0,          4,          1,          0,          0,          6,          0,          0,          0,          0,          2,          0,          0,          0,
      299,    42.74,    60.54,     1.62,     6.36,     0.24,     2.31,          2,          1,          0,          4,          4,          0,          0,         55,          0,          0,          0,          0,          2,          2,          0,          0,
      312,    39.83,    60.58,     1.61,     6.46,     0.24,     2.31,          2,          1,          0,          1,          4,          0,          0,          7,          0,          0,          0,          0,          2,          4,          0,          0,
      304,    42.33,    59.54,     1.58,     5.42,     0.23,     2.31,          2,          1,          0,          1,          3,          0,          0,         12,          0,          0,          0,          0,          2,          2,          0,          0,
      325,    39.53,    57.54,     1.54,     6.13,     0.23,     2.30,          2,          1,          0,          1,          4,          0,          0,         17,          0,          0,          0,          0,          2,          0,          0,          0,
      308,    40.62,    58.12,     1.59,     5.92,     0.25,     2.30,          2,          1,          0,          1,          3,          0,          0,         14,          0,          0,          0,          0,          2,          1,          0,          0,
      302,    42.10,    60.26,     1.61,     6.20,     0.24,     2.30,          2,          1,          0,          4,          1,          0,          0,         55,          0,          0,          0,          0,          2,          1,          0,          0,
      325,    39.26,    58.46,     1.54,     5.93,     0.22,     2.30,          2,          1,          0,          1,          1,          0,          0,         17,          0,          0,          0,          0,          2,          0,          0,          0,
      327,    41.42,    60.86,     1.53,     5.07,     0.21,     2.30,          2,          1,          0,          1,          3,          0,          0,         12,          0,          0,          0,          0,          2,          0,          0,          0,
      295,    41.36,    60.68,     1.63,     6.44,     0.25,     2.30,          2,          1,          0,          4,          4,          0,          0,          7,          0,          0,          0,          0,          2,          3,          0,          0,
      291,    12.04,    56.01,     1.40,     6.68,     0.18,     2.29,          2,          1,          0,          4,          1,          1,          3,          3,          0,          0,          0,          0,          1,          2,          0,          0,
      317,    40.55,    60.25,     1.56,     4.86,     0.22,     2.29,          2,          1,          0,          1,          2,          0,          0,         39,          0,          0,          0,          0,          2,          3,          0,          0,
      328,    39.00,    58.23,     1.54,     5.90,     0.23,     2.29,          2,          1,          0,          2,          3,          5,          0,          6,          0,          0,          0,          0,          2,          0,          0,          0,
      324,    38.91,    58.64,     1.54,     6.07,     0.22,     2.29,          2,          1,          0,          1,          4,          0,          0,         17,          0,          0,          0,          0,          2,          2,          0,          0,
      311,    41.00,    60.45,     1.58,     5.41,     0.23,     2.29,          2,          1,          0,          1,          1,          0,          0,          1,          0,          0,          0,          0,          2,          2,          0,          0,
      323,    39.55,    60.06,     1.55,     5.33,     0.22,     2.28,          2,          1,          0,          4,          2,          0,          0,          6,          0,          0,          0,          0,          2,          0,          0,          0,
      303,    42.89,    57.76,     1.57,     4.08,     0.24,     2.28,          2,          1,          0,          2,          3,          0,          0,         12,          0,          0,          0,          0,          2,          2,          0,          0,
      325,    38.88,    57.54,     1.53,     6.18,     0.23,     2.28,          2,          1,          0,          1,          2,          0,          0,         17,          0,          0,          0,          0,          2,          0,          0,          0,
      324,    38.65,    58.02,     1.54,     6.03,     0.23,     2.27,          2,          1,          0,          1,          2,          0,          0,         17,          0,          0,          0,          0,          2,          1,          0,          0,
